"Short name","Hour","HUAW_eRAN_R8_DL Traffic Volume MBytes","HUAW_eRAN_R8_UL Traffic Volume MBytes","L.Traffic.ActiveUser.DL.Max","L.Traffic.ActiveUser.DL.Avg"
1001_L_1_09F03,2016071204,0.801351,0.104611,1,0
1001_L_1_09F03,2016071205,0.353012,0.032736,1,0
1001_L_1_09F03,2016071206,7.513048,1.087677,1,0.004000
1001_L_1_09F03,2016071207,3.261953,0.569421,2,0.005000
1001_L_1_09F03,2016071208,54.695679,3.173536,3,0.018000
1001_L_1_09F03,2016071209,15.356591,1.343709,2,0.010000
1001_L_1_09F03,2016071210,4.584201,0.368270,2,0.002000
1001_L_1_09F03,2016071211,9.025617,0.895514,2,0.004000
1001_L_1_09F03,2016071212,65.893970,3.089549,3,0.030000
1001_L_1_09F03,2016071213,40.425309,19.111292,3,0.023000
1001_L_1_09F03,2016071214,40.346383,3.365182,2,0.009000
1001_L_1_09F03,2016071215,8.371941,1.977284,2,0.006000
1001_L_1_09F03,2016071216,20.947438,8.380001,2,0.018000
1001_L_1_09F03,2016071217,13.368575,1.472322,2,0.006000
1001_L_1_09F03,2016071218,37.003646,1.810877,2,0.009000
1001_L_1_09F03,2016071219,6.754559,1.429295,2,0.004000
1001_L_1_09F03,2016071220,1.498923,0.757778,2,0.002000
1001_L_1_09F03,2016071221,21.053134,0.622573,2,0.005000
1001_L_1_09F03,2016071222,18.998722,1.762474,1,0.009000
1001_L_1_09F03,2016071223,0.135263,0.148215,1,0
1001_L_1_18F01,2016071100,80.679973,17.643490,3,0.048000
1001_L_1_18F01,2016071101,24.902839,1.412460,2,0.008000
1001_L_1_18F01,2016071102,5.318593,0.377396,1,0.002000
1001_L_1_18F01,2016071103,0.315131,0.197551,1,0.001000
1001_L_1_18F01,2016071104,0.566442,0.213594,1,0.001000
1001_L_1_18F01,2016071105,1.898816,0.373548,1,0.002000
1001_L_1_18F01,2016071106,2.905456,0.950356,3,0.004000
1001_L_1_18F01,2016071107,16.996778,2.356340,2,0.008000
1001_L_1_18F01,2016071108,26.971437,2.183329,3,0.011000
1001_L_1_18F01,2016071109,12.942313,3.039606,2,0.014000
1001_L_1_18F01,2016071110,131.466602,63.677835,4,0.054000
1001_L_1_18F01,2016071111,116.918286,14.059887,3,0.043000
1001_L_1_18F01,2016071112,78.133616,9.216219,3,0.042000
1001_L_1_18F01,2016071113,160.469199,11.951608,3,0.050000
1001_L_1_18F01,2016071114,51.824012,8.451756,3,0.030000
1001_L_1_18F01,2016071115,114.486684,9.831887,3,0.036000
1001_L_1_18F01,2016071116,136.818244,9.859942,3,0.036000
1001_L_1_18F01,2016071117,43.708288,8.186437,3,0.030000
1001_L_1_18F01,2016071118,18.585559,5.152252,3,0.018000
1001_L_1_18F01,2016071119,32.845454,20.989238,3,0.030000
1001_L_1_18F01,2016071120,204.490783,30.195017,3,0.057000
1001_L_1_18F01,2016071121,75.959189,61.719200,3,0.031000
1001_L_1_18F01,2016071122,78.639475,4.719836,3,0.016000
1001_L_1_18F01,2016071123,18.446220,2.054673,2,0.006000
1001_L_1_18F01,2016071200,6.695113,1.148123,2,0.010000
1001_L_1_18F01,2016071201,0.437099,0.428751,2,0.001000
1001_L_1_18F01,2016071202,1.566092,0.525059,2,0.002000
1001_L_1_18F01,2016071203,0.749367,0.407088,1,0.001000
1001_L_1_18F01,2016071204,0.174776,0.110385,2,0.001000
1001_L_1_18F01,2016071205,0.520138,0.241660,2,0.001000
1001_L_1_18F01,2016071206,11.333010,1.151747,2,0.005000
1001_L_1_18F01,2016071207,15.699912,3.508227,2,0.014000
1001_L_1_18F01,2016071208,31.096727,2.794354,2,0.012000
1001_L_1_18F01,2016071209,49.863894,7.957379,2,0.018000
1001_L_1_18F01,2016071210,83.579215,5.352158,3,0.022000
1001_L_1_18F01,2016071211,316.765801,11.701756,3,0.047000
1001_L_1_18F01,2016071212,81.349653,15.668276,3,0.037000
1001_L_1_18F01,2016071213,109.452606,17.861587,3,0.044000
1001_L_1_18F01,2016071214,125.844366,26.676955,3,0.047000
1001_L_1_18F01,2016071215,72.284630,11.803467,3,0.043000
1001_L_1_18F01,2016071216,163.778116,21.471909,4,0.062000
1001_L_1_18F01,2016071217,112.607736,16.386166,4,0.059000
1001_L_1_18F01,2016071218,118.228261,19.232554,3,0.059000
1001_L_1_18F01,2016071219,203.965616,19.228094,4,0.065000
1001_L_1_18F01,2016071220,135.579717,14.620875,4,0.055000
1001_L_1_18F01,2016071221,153.965034,16.653220,3,0.052000
1001_L_1_18F01,2016071222,50.097152,4.169044,2,0.017000
1001_L_1_18F01,2016071223,13.896894,2.399914,2,0.010000
1001_L_1_18F02,2016071100,27.524480,2.795541,2,0.007000
1001_L_1_18F02,2016071101,3.061332,1.135786,2,0.005000
1001_L_1_18F02,2016071102,1.057604,0.408669,2,0.003000
1001_L_1_18F02,2016071103,0.899824,0.380504,1,0.002000
1001_L_1_18F02,2016071104,0.871864,0.345727,1,0.002000
1001_L_1_18F02,2016071105,1.845552,0.910906,2,0.003000
1001_L_1_18F02,2016071106,27.594069,1.847511,2,0.009000
1001_L_1_18F02,2016071107,47.586337,4.494366,3,0.017000
1001_L_1_18F02,2016071108,17.175055,2.532525,2,0.016000
1001_L_1_18F02,2016071109,85.896230,5.933032,3,0.024000
1001_L_1_18F02,2016071110,20.277308,10.375728,3,0.016000
1001_L_1_18F02,2016071111,72.479922,13.625407,3,0.042000
1001_L_1_18F02,2016071112,138.628234,16.104181,3,0.051000
